* primer sequences are manufactured specifically for use with the Ion AmpliSeq Kits and contain proprietary modifications.
384Well_PlateID,384Well_Row,384Well_Col,Amplicon_ID,Ion_AmpliSeq_Fwd_Primer*,Ion_AmpliSeq_Rev_Primer*
Pool1_02,K,8,Blank,.,.
Pool1_02,K,9,7173178264,.,.
Pool1_02,K,10,Blank,.,.
Pool1_02,K,11,7170316551,.,.
Pool1_02,K,12,Blank,.,.
Pool1_02,K,13,7173178382,.,.
Pool1_02,K,14,Blank,.,.
Pool1_02,K,15,7173184177,.,.
Pool1_02,K,16,Blank,.,.
Pool1_02,K,17,7173184200,.,.
Pool1_02,K,18,Blank,.,.
Pool1_02,K,19,7171338653,.,.
Pool1_02,K,20,Blank,.,.
Pool1_02,K,21,7173178181,.,.
Pool1_02,K,22,Blank,.,.
Pool1_02,K,23,7173178330,.,.
Pool1_02,K,24,Blank,.,.
Pool1_02,L,1,Blank,.,.
Pool1_02,L,2,Blank,.,.
Pool1_02,L,3,Blank,.,.
Pool1_02,L,4,Blank,.,.
Pool1_02,L,5,Blank,.,.
Pool1_02,L,6,Blank,.,.
Pool1_02,L,7,Blank,.,.
Pool1_02,L,8,Blank,.,.
Pool1_02,L,9,Blank,.,.
Pool1_02,L,10,Blank,.,.
Pool1_02,L,11,Blank,.,.
Pool1_02,L,12,Blank,.,.
Pool1_02,L,13,Blank,.,.
Pool1_02,L,14,Blank,.,.
Pool1_02,L,15,Blank,.,.
Pool1_02,L,16,Blank,.,.
Pool1_02,L,17,Blank,.,.
